Id,Ответ,Действие,Url картинки,ответ 1,ответ 2,ответ 3,ответ 4
11,,"..Конец девяностых...узрев прощальным взглядом зимнюю кремлёвскую ночь с апертуры  сенатского дворца ,уже не молодой , но видавший жизнь и уставший от неё же, президент страны , страны родившийся из одного из пятнадцати осколков некогда могучей  сверхдержавы прекрасных грёз и эпохальных достижений , существовавшей на идеалах справедливости ,мечт о всеобщем благе, показавшая человечеству путь к звёздам и победившая не только зло не   планетарного масштаба , но и барьеры наших мыслей  и  возможностей ...",https://vk.com/photo163488578_457246103,111,,,
111,," ....теперь  же медленно тлела в  огне всепоглощающего пламени  капитализма , аморализма и неолиберализма ..рушились стены ,уничтожалось оружие и закрывались тюрьмы.. и все были рады этому..мы чувствовали себя вершителями своего рода чего-то великого и нового .. Мы дали им все то, что они просили: рыночные отношения,  свободу и права..и как они этим воспользовались ?.. превратилм последний оплот честности и морали в оплот бандитизма и преступности ...кем они запомнят нас? Спасителями России или предателями Союза? При любом раскладе мне  остаётся лишь одно....",,112,,,
112,,"Минуло 20 лет...многое поменялось, но не слишком ,основная программа коммунизма была выполнена , богатые стали- богаче , бедные -и так понятно. Мы просто на происходящее и продолжали верить в хорошее ,хоть его так и не случалось.Экономическиц рост , прорыв-не более чем последствия реформ 90-х, многие думают , что он бесполезны, но все , что было последующее десятилетие после ухода , царство ему ликеро-водочное , Бориса Николаевича,обеспечили все те успехи я которые были достигнуты. Но все вокруг происходит циклами спадов, подъемов и новых падений и Россия не стала исключением. Только мы заявили миру о себе , проведя мирный референдум, оккупировав Крым , он сразу же дал понять, кто мы и что.Мы ответили на санкции импортзамещением-собственная качественная и натуральная продукция , создаваемая у нас, стоящая в разы дешевле и обеспечивая экономику ? уж нет, увольте , пальмовое масло и примитивная химия -российское настоящее , а тоталитаризм авторитаризма несменного сами знаете кого-наше будущее, и единственное хорошее что у нас есть-наше прошлое..насильственное крещение , 300-летнее иго, крепостное право, бесконечные войны из-за императорских амбиций , мировая война с революцией , красным террором и записками сумасшедшего в 52-х томах ..",,21,22,,
,,,,,,,
21,спасти Россию ,"Взяв папку с надпись ,, ВМФ СССР"" , Б. Н. увидел списки и цифры:Сторожевые корабли:

Сторожевой корабль «Доблестный» — 69,54 тыс.
Сторожевой корабль «Зоркий» — 227,5
Сторожевой корабль «Строгий» — 316,5  и ещё пару десятков наименований , так , что ниже 
Большие противолодочные корабли:

Большой противолодочный корабль «Хабаровск» — 579,6
Большой противолодочный корабль «Юмашев» — 468 (заканчивал средний ремонт в 35 заводе, в Росте)
Большой противолодочный корабль «Макаров» — 516 (мой первый корабль, моё начало)
Большой противолодочный корабль «Исаченков» — 514,25
Большой противолодочный корабль «Исаков...."" ,"" хм, что это ... ах да, как же я мог забыть ,сданный западным партнёрам металлолом , так значит , а это рубли и доллары ? хотя какая разница, смогли продать и бог с ним ... Может быть кто-то узнает об этом(те, кто не поддался соблазну жизни для себя и верит в то, что благополучие страны и каждого живущего а ней зависит в первую очередь от нас самих ) и подумает, что мы пилим на металл боевые корабли , стоимостью в сотни раз больше, чтобы купить себе яхты, особняки и оставшееся положить себе в карман  ..наивные глупцы.. я-мы спасаем Россию ,одновременно соблюстив договор о массовом разооружении и закрывая дыры в бюджете, обеспечивая успешное проведение реформ ...люди думают, что после застоя 1985 года мы мигом окажемся в среде ведущих экономических держав мира ? Нет...нужно время ...нужно работать ...и соц преемник обязательно закончит начатое мною становление России...Это было правильное решение. Моё решение . Он украдкой посмотрел на дату "" 30 декабря 1999 года, пора""",,31,32,,
22,выпить водки  ,"Ох хорошо..люблю Россию ..люблю водку... и людей люблю ...всех люблю ..даже этот  коммуняка, который. меткой сатаны на лбу , тоже ничего чувак ...человек уважающий американскую культуру...*""""₽***"" конченный .... Денег мало, а людей нужно любить много...наша страна стоит на краю пропасти я но благодаря президенту,  мы сделаем шаг вперёд!!! ""  в мгновения ока перед тем, как опрокинуть  ещё водки , в голове промелькнула мысль :  нужно уйти красиво,или хотябы  трезво.. хорошо что ещё тогда я сказал  Волошину  и Юмашеву и этого парня , о своем решении ... ",,221,,,
221,,",но больше никто об этом не знал и от этого было тепло на душе",,32,33,,
,,,,,,,
31,"Может коммунисты были и правы  , пить в одиночестве ","Борису Николаевичу невольно вспомнился тот самый октябрь  93-го, когда правда и ложь сплелись воедино и погубили множество ни в чем неповинных людей..Вспомнилось также предложение Запада обеспечить проведение  реформ м ликвидации верховного совета путем введения миротворцев..Хех..чего только стоили таманаская м контемировская дивизии сотчреугруппоц витязь..С чеготде все началось? Мы..народ. хотел перемен я нужно было изменять конституцию , но эти люди , застрявшие в советском  ограниченного 15 гранным 100 граммовым стаканом водки не были свободны не то, что бы даже свалить широко и глобально , а  вообще думать и делать только так, как написано в сранныж законах ...Кому сдались ваши законы , когда танки бороздят Москву и каждый час приходят сообщения о десятках жертв...Я сказал, что изменю. конституцию и я сделал все возможное и невозможное для этого ...и если ради спасения сотни миллионов должны были погибнуть пару сотен ..так тому и быть ...мы предлагали мирный исход , мы отключили им свет, воду, газ, но он продолжили сопротивляться эти олухи даже  отстреливаться были неспособны , ибо от их оружия никто не погиб..и это прескорбно , спустя время они повесят вчерашние трупы на нас ..надеюсь к тому времени мы.уюе будем далеко вне России ",,41,,,
32,"вызвать к себе преемника, оставаться демократом навсегда ","в кабинет негромко, но чётко, по военному, постучали :.   П ""Борис Николаевич, разрешите войти,председатель Российской Федерации Пупкин ? БН:Да, Puty-Put, заходи ...  Преемник  быстро, но грациозно прошел в кабинет и расположился на специально выделеным месте для посетителя президента , спрашивать разрешения сесть и иные формальности здесь  было принято не соблюдать. Б.Н: Володя , твое время настало , я раскрутил гайки , дал всем столько демократии и суверенитета , сколько они смогли унести и подавиться ею же  , но я устал, я ухожу .. П: Я понимаю.. Б.Н: Вот поэтому я и выбрал тебя .За твое понимание. Дальше действовать будешь ты,и я верен, ты знаешь как. П:Да, Борис Николаевич , Россия встанет с колен, чего бы ей это не стоило. Б.Н."" Сколько тебе нужно на первое время? Ичкерчкий конфликт и дефолт сильно ударили по нам, но мы нашли средства на сдаче металлолома и продаже  бесполезных заводов, также появилась возможность санкционировать ввод миротворческих сил ООН . А: Сильному не нужно , слабому не поможет ,придется драться своими силами , если мы хотим сохранить сильную независимую Россию  , а если драка неизбежна, то бить нужно первым . Б.Н: Владимир , у тебя холодный разум , чистые руки и горячее сердце ..ступай , твоя эпоха начнется  после мое телеобращения.""После этог(о уже будущий лидер России также быстро вышел из кабинета, как и зашёл , ни одна эмоция на сыграла свою симфонию из волнения или удивления на его лице во время разговора , даже когда ему пришла в голову мысль: бошку этот парень в Чечне сломает.Ну и бог с ним. 3-4 месяца у меня есть, чтобы этих бандюк разбомбить,потом пусть снимают он все время думал о том , что его ждёт, с кем ему придется бороться , они прекрасно понимал , что во время 2 президентского срока Ельцин превратился из активиста-спортсмена, которого любил народ в алкоголика, сломленного проблемами со здоровьем , которым легко управлять, это было видно по его неадекватному поведению в обществе, это было дело рук предприимчивых политиков , которые попилими продали богатсва страны, в стране вырос уровень коррупции и криминалитета, уровень жизни резко рухнул ,а после своих махинаций  они быстро переобуются в оппозицию и будут во всем винить нынешнюю власть. Бывший Платон и раньше все это осознавал, но он ничего не мог поделать с этим, но не теперь .....",,41,,,
33,"Записать видеобращение и позвонить Клинтону с деловым предложением "" get drunk "" , утвердив себя леваком ","Представительский зал Кремля — елка, большие золотые часы, съемочная группа ОРТ.  Типично, обычно , как всегда , но не в этот раз .Ещё никто не знает , поэтому я отложил все до последнего момента .Беловежское соглашение , кровавый октябрь ,письмо 42-х, Югославия с НАТО ,девальвация и дефолт 98-го..да уж, есть о чем поговорить ..Почти дед мороз я они устали от меня, я от них..сделаю подарок всем, им и себе ...",,331,,,
331,,"Так , уже утром ,8.15.Помятный лист, вытащенный из кармана м старательно разглаживаемый..9.00 Заходит заведующий кануеляр и ложит на стол стопку "" президентской почты"", ""жаль не водки ""- подумалось всё ещё  президенту ...9.30 в кабинет приходит преемник и и в присутствии нужных людей объявляет о своем решении..все и так знают ...телеобращение готово..бронированная машина с записью  телеобращении отъезжает от кремля и прибывает в Останкино ..ровно в полдень все будет сделано ..Россия войдёт в новую эпоху , расколов нынешнее и будущее тысячелетие эпохальным событием , повдияющем в будущем на весь мир(в частности Крым ).. Россия должна войти в новое тысячелетие с новыми политиками, с новыми лицами, с новыми умными, сильными, энергичными людьми. А мы — те, кто стоит у власти уже многие годы, — мы должны уйти"". ...",,42,43,,
,,,,,,,
41,Я устал. Я ухожу ...,"Вот так завершились те славные  и лихие  Ельцинские времена , которые дали нам стать теми ,кеми мы являемся сейчас  и предопределили будущий путь России , как потрепанноц сотрясениями, но   сильной и независимой. Если бы не он , быть может и не существовало того поколения свободы(какиек-бы рамки она не переходила ) ,любви(как бы она не отличалась от 2стоявщеыся и традиционной) , искренности(какой суровой она бы не была ) и будущего , которое теперь , в отличие от сказочного м утопичношо коммунизма , было более-менее четко определенно.Так пройдут года и для одних  первые президент России останется алкоголиком и человеком, продавшей Россию , для других героем и спасителем , недопустившим распад России и ее возвращения к коммунистическим истокам. Люди обычно судят по себе и тот ,  кого они увидят в Ельцину будет олицетворением их самих .",,,,,
42,уйти вместе с эпохой ,"""На Новый год, как всегда, был Дедом Морозом. Вынимал из мешка подарки. А мне подарили часы. Потом мы вышли из дома. Звезды. Сугробы. Деревья. Темная-темная ночь. Давно мы с моей семьей не были так счастливы. Очень давно... Утром тоже грусти не было"". 


",,,,,
43,выпить водки ,таков путь ,,,,,
511,,,,,,,